Country,Latitude,Longitude,GNI,GDP,Population,UNRP10,UNRP20,WBGini,GenderGapRank2013,GenderGapScore2013,EconomicRank2013,EconomicScore2013,EducationalRank2013,EducationalScore2013,HealthRank2013,HealthScore2013,PoliticalRank2013,PoliticalScore2013,TotalGold2014,TotalSilver2014,TotalBronze2014,TotalMedals2014,WomenGold2014,WomenSilver2014,WomenBronze2014,WomenMedals2014,WomenMedals2014Sqrt,MenGold2014,MenSilver2014,MenBronze2014,MenMedals2014,MenMedals2014Sqrt,TotalGold2012,TotalSilver2012,TotalBronze2012,WomenMedals2012,MenMedals2012,TotalMedals2012,TotalMedals2012and2014,TotalMedals2012and2014SQRT,TotMed1214per_,TotMed1214perPop,TotMedWom1214,TotMedMen1214,TotMedWom1214sqrt,TotMedMen1214sqrt
Korea,127,54,30890,1129598,50004000,7.8,4.7,31.3,111,0.6351,118,0.5036,100,0.9592,75,0.973,86,0.1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,7,7,22,28,28,5.29,0,0,7,22,2.65,4.69
Kosovo,132,160,,6238,1806366,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,119,132,49230,160913,3250496,0,,,116,0.6292,115,0.5252,57,0.9936,112,0.9612,126,0.037,3,3,2,8,3,2,2,7,2.65,0,1,0,1,1,0,0,1,0,1,1,9,3,0,0,7,2,2.65,1.41
Kyrgyz Republi,132,106,2260,6473,5582100,6.4,4.4,36.2,63,0.6948,60,0.6789,77,0.9888,75,0.973,71,0.1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao PDR,107,78,2730,9299,6645827,8.3,5.4,36.7,60,0.6993,8,0.7999,113,0.8948,106,0.9669,73,0.1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,146,156,21020,28374,2025473,11.6,6.8,36.6,12,0.761,17,0.7767,1,1,1,0.9796,26,0.2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,1.41,0,0,0,2,0,1.41
Lebanon,123,145,14400,42945,4424888,0,,,123,0.6028,126,0.442,87,0.9796,1,0.9796,133,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,122,167,17560,62360,6154623,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,137,171,,4826,36656,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lethoso,90,180,2210,2448,2051545,10.5,44.2,52.5,16,0.753,18,0.7756,1,1,1,0.9796,35,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,144,155,22760,42246,2985509,10.4,6.3,37.6,28,0.7308,21,0.7688,60,0.9928,34,0.9791,47,0.1826,0,2,2,4,0,0,0,0,0,0,2,0,2,1.41,2,1,2,1,1,5,9,3,0,0,1,3,1,1.73
Luxembourg,139,174,63000,57117,531441,0,,30.8,21,0.741,7,0.8162,1,1,85,0.9719,51,0.1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macao SAR, Chi",112,67,68710,43582,556783,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia, FYR",131,159,11570,9663,2105575,12.5,7.5,43.2,57,0.7013,71,0.6611,75,0.9903,128,0.9533,40,0.2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,72,133,950,9975,22293914,19.2,11,44.1,56,0.7016,51,0.7033,93,0.975,74,0.9732,61,0.1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,76,147,880,4264,15906483,10.9,6.7,39,39,0.7139,4,0.8253,112,0.8961,101,0.9683,56,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,93,79,16530,303526,29239927,22.1,12.4,46.2,102,0.6518,100,0.5904,73,0.9907,75,0.973,121,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1.41,0,0,1,1,1,1
Maldives,90,180,7690,2222,338442,0,,37.4,97,0.6604,99,0.5914,1,1,112,0.9612,101,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,102,187,1160,10308,14853572,12.5,7.6,33,128,0.5872,107,0.5668,132,0.7291,54,0.9761,106,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,125,166,26990,8722,418366,0,,,84,0.6761,108,0.5655,58,0.9935,65,0.9737,53,0.1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,90,180,2520,4199,3796141,12,7.4,40.5,132,0.581,131,0.3651,119,0.8591,1,0.9796,82,0.1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,70,123,15820,10492,1291456,0,,,98,0.6599,105,0.5735,72,0.9907,1,0.9796,93,0.0959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,109,279,16630,1177271,1.21E+08,21.6,12.8,48.3,68,0.6917,111,0.5499,70,0.9911,1,0.9796,36,0.2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,2,7,7,2.65,0,0,5,2,2.24,1.41
Moldova,137,152,3690,7254,3559541,8.2,5.3,33,52,0.7037,32,0.7407,74,0.9907,34,0.9791,87,0.1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1.41,0,0,1,1,1,1
Monaco,133,173,,6075,37579,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,136,75,5100,10271,2796484,8.2,5.4,36.5,33,0.7204,2,0.8338,49,0.9946,1,0.9796,108,0.0734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,5,5,2.24,0,0,1,2,1,1.41
Montenegro,132,161,13930,4231,621081,0,,30,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
Morocco,122,186,5040,96729,32521143,11.7,7.2,40.9,129,0.5845,129,0.3949,109,0.9002,88,0.9712,111,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
Mozambique,65,148,1020,14588,25203395,18.8,9.9,45.7,26,0.7349,11,0.7897,124,0.8355,112,0.9612,18,0.3533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,106,84,,,52797319,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,68,163,7470,12807,2259393,12.8,56.1,63.9,44,0.7094,53,0.698,1,1,105,0.9671,52,0.1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,117,95,1500,19415,27474377,15.8,9.1,32.8,121,0.6053,116,0.5151,130,0.7462,112,0.9612,41,0.1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,142,176,43360,772227,16767705,9.2,5.1,30.9,13,0.7608,26,0.7592,44,0.9954,93,0.9697,22,0.3191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,18,9,20,20,4.47,0,0,18,9,4.24,3
New Caledonia,68,14,,2682,258121,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,49,6,29960,167347,4433100,12.4,6.8,36.2,7,0.7799,15,0.7797,1,1,93,0.9697,12,0.3703,8,7,9,24,3,3,4,10,3.16,5,4,5,14,3.74,6,2,5,5,16,13,37,6.08,0,0,15,30,3.87,5.48
Nicaragua,102,266,3960,10507,5991733,31,8.8,40.5,10,0.7715,91,0.6218,28,0.9996,55,0.9758,5,0.4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,103,178,650,6568,17157042,46,20.7,34.6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,99,172,2420,262606,1.69E+08,17.8,9.7,48.8,106,0.6469,54,0.6965,126,0.8115,122,0.9607,83,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,130,53,,,24763188,0,,31,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,6,6,2.45,0,0,0,0,0,0
Norway,149,170,64030,499667,5018869,6.1,3.9,25.8,3,0.8417,1,0.8357,1,1,93,0.9697,3,0.5616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,4,4,2,0,0,0,3,0,1.73
Oman,113,122,25580,69972,3314001,0,,,122,0.6053,123,0.4489,94,0.9745,59,0.9755,132,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,123,107,3030,231182,1.79E+08,6.5,4.3,30,135,0.5459,135,0.3108,129,0.7685,124,0.9557,64,0.1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,99,259,17830,36253,3802281,49.9,23.9,51.9,37,0.7164,45,0.7136,43,0.9958,61,0.9753,48,0.1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guin,81,33,2780,15654,7167010,23.8,12.6,50.9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,65,237,5610,25502,6687361,38.8,25.7,52.4,89,0.6724,83,0.6363,61,0.9928,55,0.9758,104,0.0847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,78,257,10240,197111,29987800,26.1,15.2,48.1,80,0.6787,88,0.6278,88,0.9796,109,0.9658,69,0.1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,104,59,4400,250265,96706764,15.5,9.3,43,5,0.7832,16,0.7773,1,1,1,0.9796,10,0.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,142,159,20920,489795,38542737,8.8,5.6,34.1,54,0.7031,73,0.6563,37,0.9983,34,0.9791,49,0.1786,11,5,10,26,4,3,5,12,3.46,6,2,5,13,3.61,2,2,6,6,5,10,36,6,0,0,18,18,4.24,4.24
Portugal,128,189,24670,212454,10526703,15,8,38.5,51,0.7056,66,0.6726,56,0.994,83,0.9724,46,0.1834,4,1,1,6,1,1,0,2,1.41,3,0,1,4,2,0,1,0,0,2,1,7,2.65,0,0,2,6,1.41,2.45
Puerto Rico,108,246,,101496,3667084,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1.41,0,0,0,1,0,1
Qatar,115,129,87670,172982,2050514,0,,41.1,115,0.6299,106,0.5735,53,0.9941,129,0.9522,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,1.41,0,0,0,2,0,1.41
Romania,134,154,16310,169396,21326905,7.5,4.9,30,70,0.6908,55,0.6928,50,0.9945,34,0.9791,91,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,8,5,9,9,3,0,0,8,5,2.83,2.24
Russia,145,143,22760,2022000,1.44E+08,12.7,7.6,40.1,61,0.6983,42,0.7204,36,0.9984,34,0.9791,94,0.0951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,32,31,27,81,81,9,0,0,31,27,5.57,5.2
Rwanda,89,150,1250,7103,11457801,18.6,9.9,50.8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2
Saudi Arabia,114,134,25010,711050,28287855,0,,,127,0.5879,134,0.3223,90,0.9761,52,0.9762,105,0.0769,13,11,9,33,1,3,4,8,2.83,10,6,4,20,4.47,0,0,1,0,0,1,34,5.83,0,0,8,20,2.83,4.47
Senegal,104,197,1920,14160,13726021,12.3,7.4,39.2,67,0.6923,81,0.6401,125,0.827,71,0.9734,20,0.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
Serbia,133,159,11180,37489,7223887,0,,27.8,42,0.7116,59,0.6791,55,0.994,111,0.9642,39,0.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,4,2,0,0,0,0,0,0
Sierra Leone,98,193,1360,3796,5978727,87.2,57.6,42.5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1.73,0
Singapore,91,77,61100,274701,5312400,17.7,9.7,48.1,58,0.7,12,0.7883,105,0.9409,85,0.9719,90,0.0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,1.41,0,0,2,3,1.41,1.73
Slovakia,138,163,24370,91619,5410267,6.7,4,26,74,0.6857,86,0.635,1,1,1,0.9796,77,0.1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,4,4,2,0,0,1,4,1,2
Slovenia,136,166,26470,45469,2058152,5.9,3.9,31.2,38,0.7155,43,0.7189,26,0.9999,75,0.973,54,0.1702,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,2,1,6,4,5,2.24,0,0,2,6,1.41,2.45
South Africa,65,152,11190,384313,51189307,33.1,17.9,63.1,17,0.751,78,0.6505,54,0.9941,102,0.9677,8,0.3919,2,2,4,8,2,0,2,4,2,0,2,2,4,2,3,2,1,20,3,6,14,3.74,0,0,24,7,4.9,2.65
Spain,130,183,31780,1349351,46217961,10.3,6,34.7,30,0.7266,76,0.6521,40,0.9971,75,0.973,27,0.2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,17,17,4.12,0,0,0,0,0,0
Sri Lanka,97,99,6120,59421,20328000,11.1,6.9,40.3,55,0.7019,109,0.559,48,0.9946,1,0.9796,30,0.2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,95,235,8500,4738,534541,0,,52.9,110,0.6369,119,0.4986,39,0.9973,1,0.9796,110,0.0723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,149,162,43160,525742,9516617,6.2,4,25,4,0.8129,14,0.7829,38,0.9977,69,0.9735,4,0.4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,5,8,8,2.83,0,0,2,5,1.41,2.24
Switzerland,136,173,54870,632194,7997152,9,5.5,33.7,9,0.7736,23,0.7681,66,0.9919,72,0.9733,16,0.361,2,7,6,15,1,3,2,6,2.45,1,4,4,9,3,2,2,0,1,2,4,19,4.36,0,0,7,11,2.65,3.32
Syrian Arab Re,123,144,5200,73672,22399254,0,,35.8,133,0.5661,136,0.2508,96,0.9682,58,0.9756,112,0.0697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,128,112,2220,6987,8008990,7.8,5.2,30.8,90,0.6682,38,0.7284,110,0.8993,123,0.9559,100,0.0891,6,3,2,11,2,1,2,5,2.24,4,2,0,6,2.45,0,0,1,1,0,1,12,3.46,0,0,6,6,2.45,2.45
Tanzania,84,146,1590,28249,47783107,9.2,5.8,37.6,66,0.6928,70,0.6635,118,0.8779,112,0.9612,32,0.2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,103,80,9430,365564,66785001,12.6,7.7,40,65,0.6928,50,0.7035,78,0.9888,1,0.9796,89,0.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,3,1.73,0,0,2,0,1.41,0
Timor-Leste,82,55,6410,1293,1210233,0,,31.9,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and T,100,241,22400,23986,1337439,12.9,7.6,40.3,36,0.7166,47,0.7112,51,0.9944,130,0.9516,38,0.2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,4,4,2,0,0,0,1,0,1
Tunisia,126,170,9360,45662,10777500,13.4,7.9,41.4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,1.73,0,0,1,1,1,1
Turkey,129,148,17500,789257,73997128,6.6,4.6,39,120,0.6081,127,0.4269,104,0.9431,59,0.9755,103,0.0868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,5,5,2.24,0,0,0,2,0,1.41
Turkmenistan,128,123,9640,33679,5172931,12.3,7.7,40.8,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,90,148,1140,19881,36345860,16.6,9.2,44.3,46,0.7086,37,0.7285,123,0.8425,1,0.9796,28,0.2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Ukraine,140,150,7290,176309,45593300,5.9,4.1,26.4,64,0.6935,30,0.7426,27,0.9998,75,0.973,119,0.0587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,10,2,20,20,4.47,0,0,10,2,3.16,1.41
United Arab Em,114,126,42380,348595,9205651,0,,,109,0.6372,122,0.4672,1,1,112,0.9612,81,0.1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,130,257,50610,16244600,3.14E+08,15.9,8.4,45,23,0.7392,6,0.8185,1,1,33,0.9792,60,0.1593,1,0,1,2,1,0,1,2,1.41,0,0,0,0,0,46,29,29,82,39,104,106,10.3,0,0,84,39,9.17,6.24
Uruguay,56,236,15570,49060,3395253,20.1,10.2,45.3,77,0.6803,58,0.6833,41,0.9967,1,0.9796,116,0.0617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,131,111,3750,51113,29776850,10.6,6.2,36.7,,,,,,,,,,,9,7,12,28,4,4,5,13,3.61,4,3,6,13,3.61,1,0,2,0,1,3,31,5.57,0,0.1,13,14,3.61,3.74
Venezuela,100,246,13120,382424,29954782,18.8,16,44.8,50,0.706,89,0.6256,33,0.9993,1,0.9796,37,0.2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
Vietnam,111,75,3440,155820,88775500,6.9,4.9,35.6,73,0.6863,52,0.7023,95,0.9741,132,0.9441,80,0.1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen, Rep.",105,132,2310,35646,23852409,8.6,5.6,37.7,136,0.5128,132,0.3577,134,0.698,81,0.9727,131,0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,75,152,1620,20678,14075099,0,,54.6,113,0.6312,84,0.6354,121,0.8472,98,0.969,109,0.0732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,73,149,,10814,13724317,0,,50.1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
